City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
258,Phan Thiet,10.9333,108.1,85.87,66,96,7.29,VN,overcast clouds
259,Pombas,17.1503,-25.0201,76.78,85,100,12.39,CV,overcast clouds
260,Andra,62.5147,65.8878,41.68,94,100,9.62,RU,overcast clouds
261,Olinda,-8.0089,-34.8553,78.53,78,40,4.61,BR,scattered clouds
262,Tiznit,29.5833,-9.5,68.63,58,74,0.92,MA,broken clouds
263,Cape Town,-33.9258,18.4232,57.11,82,20,9.22,ZA,few clouds
264,Nueva Loja,0.0847,-76.8828,76.14,80,98,2.55,EC,overcast clouds
265,Padang,-0.9492,100.3543,84.25,78,95,6.85,ID,overcast clouds
266,Singaraja,-8.112,115.0882,83.32,75,100,5.03,ID,overcast clouds
267,Stornoway,58.2093,-6.3865,50.94,84,75,21.85,GB,broken clouds
268,Aksu,41.1231,80.2644,59.61,28,93,4.72,CN,overcast clouds
269,Grindavik,63.8424,-22.4338,41.47,87,75,2.3,IS,broken clouds
270,Mayumba,-3.432,10.6554,75.76,89,100,8.16,GA,light rain
271,Diamantino,-14.4086,-56.4461,77.7,70,27,4.52,BR,scattered clouds
272,Komsomolskiy,40.4272,71.7189,57.92,30,0,9.22,UZ,clear sky
273,Mattru,7.6244,-11.8332,73.08,97,100,2.37,SL,overcast clouds
274,Mogadishu,2.0371,45.3438,77.11,88,23,12.12,SO,few clouds
275,Elliot Lake,46.3834,-82.6331,51.93,77,86,4.27,CA,overcast clouds
276,Bhag,29.0415,67.8239,84.09,29,0,4.38,PK,clear sky
277,Praya,14.9215,-23.5087,79.34,83,0,3.44,CV,clear sky
278,Richards Bay,-28.783,32.0377,71.24,87,59,13.29,ZA,broken clouds
279,Hirara,24.8,125.2833,84.47,79,40,16.11,JP,scattered clouds
280,Falun,60.6036,15.626,52.95,93,100,8.95,SE,overcast clouds
281,Derazhnya,49.2692,27.4338,47.82,65,100,7.11,UA,overcast clouds
282,Yining,29.0361,114.5636,58.51,85,100,3.31,CN,overcast clouds
283,Dunedin,-45.8742,170.5036,42.75,79,100,24.56,NZ,overcast clouds
284,Yongchang,30.0381,119.7317,57.56,93,100,4.59,CN,overcast clouds
285,Safford,32.834,-109.7076,70.11,60,40,11.5,US,scattered clouds
286,Yerbogachen,61.2767,108.0108,34.18,60,51,5.97,RU,broken clouds
287,Chifeng,42.2683,118.9636,49.73,17,99,2.93,CN,overcast clouds
288,Belmonte,-15.8631,-38.8828,73.78,86,35,6.87,BR,scattered clouds
289,Syamzha,60.0158,41.0614,43.59,98,86,3.29,RU,overcast clouds
290,Panguna,-6.3164,155.4848,81.41,58,87,4.72,PG,overcast clouds
291,Katangli,51.7102,143.2326,42.37,35,66,16.37,RU,broken clouds
292,Namatanai,-3.6667,152.4333,84.67,69,88,10.13,PG,light rain
293,Necochea,-38.5473,-58.7368,53.44,86,100,5.26,AR,overcast clouds
294,Iqaluit,63.7506,-68.5145,31.73,100,100,3.44,CA,light snow
295,Beyneu,45.3167,55.2,53.76,32,94,13.24,KZ,overcast clouds
296,Inirida,3.8653,-67.9239,74.32,96,69,2.1,CO,broken clouds
297,Bethel,41.3712,-73.414,60.89,88,0,3.0,US,clear sky
298,Yei,4.095,30.6779,65.79,93,99,1.99,SS,light rain
299,Bondo,3.8146,23.6866,68.31,99,100,1.63,CD,light rain
300,Batemans Bay,-35.7167,150.1833,59.09,95,100,11.05,AU,light rain
301,Mount Isa,-20.7333,139.5,91.17,31,40,5.75,AU,scattered clouds
302,Yeppoon,-23.1333,150.7333,80.38,67,46,12.95,AU,scattered clouds
303,Boma,7.0805,-2.1697,70.02,100,100,2.3,GH,light rain
304,Codrington,-38.2667,141.9667,64.17,80,100,12.17,AU,overcast clouds
305,Morehead,37.2711,-87.1764,54.0,93,0,0.0,US,clear sky
306,Tashla,51.7716,52.7427,53.13,45,100,6.06,RU,light rain
307,Rawson,-43.3002,-65.1023,64.29,30,100,25.46,AR,overcast clouds
308,Tigil,57.8,158.6667,39.18,70,77,27.98,RU,light rain
309,Zerbst,51.9667,12.0833,59.92,79,39,11.92,DE,scattered clouds
310,Van,38.4924,43.3831,63.75,22,20,5.75,TR,few clouds
311,Beringovskiy,63.05,179.3167,40.39,68,59,32.61,RU,broken clouds
312,Nouadhibou,20.931,-17.0347,80.58,47,77,19.57,MR,broken clouds
313,Nombre De Dios,23.85,-104.2333,56.75,73,100,3.36,MX,overcast clouds
314,Moree,-29.4667,149.85,68.02,77,75,12.66,AU,broken clouds
315,Kirakira,-10.4544,161.9205,83.03,74,62,7.14,SB,broken clouds
316,Pirojpur,22.5667,89.9833,85.03,75,47,7.18,BD,scattered clouds
317,Saskylakh,71.9167,114.0833,12.4,95,87,6.35,RU,overcast clouds
318,Sitka,57.0531,-135.33,57.09,100,100,8.05,US,light rain
319,Yarmouth,41.7057,-70.2286,60.85,97,100,5.75,US,mist
320,Abu Kamal,34.4506,40.9171,77.86,39,0,10.07,SY,clear sky
321,Eureka,40.8021,-124.1637,58.62,85,60,1.01,US,broken clouds
322,Urdoma,61.7533,48.5442,43.65,97,100,3.36,RU,light rain
323,Mardin,37.3131,40.7436,58.26,42,0,2.3,TR,clear sky
324,Matara,5.9485,80.5353,80.38,80,100,14.99,LK,overcast clouds
325,Atlantic City,39.3643,-74.4229,59.18,92,100,5.75,US,overcast clouds
326,Leningradskiy,69.3833,178.4167,30.11,92,98,8.59,RU,overcast clouds
327,Date,42.4681,140.8681,54.43,48,98,15.79,JP,overcast clouds
328,Husavik,66.0449,-17.3389,35.73,98,100,22.26,IS,overcast clouds
329,Ostrovnoy,68.0531,39.5131,45.32,82,86,17.6,RU,overcast clouds
330,Lata,40.1629,-8.3327,56.07,78,21,2.8,PT,few clouds
331,Mortka,59.3322,66.0214,42.53,63,100,4.61,RU,overcast clouds
332,Smithers,54.7804,-127.1743,55.72,76,75,5.75,CA,broken clouds
333,Lashio,22.9333,97.75,77.59,72,54,2.1,MM,broken clouds
334,Jalalabad,34.4265,70.4515,75.34,20,0,3.13,AF,clear sky
335,Petrivka,46.9695,30.9591,54.0,59,100,3.38,UA,overcast clouds
336,Leshukonskoye,64.8989,45.7622,44.01,97,100,3.4,RU,overcast clouds
337,Ende,-8.8432,121.6623,85.69,71,90,4.45,ID,overcast clouds
338,Davila,18.4726,120.5763,91.38,67,5,10.11,PH,clear sky
